name,phone,city,state,zip,oem_source,license_number,license_expiration_date,icp_score,tier,resimercial_score,om_score,mepr_score,multi_oem_score
Freedom Enterprises Electrical & Generator Service,5128459777,AUSTIN,TX,78748.0,Briggs & Stratton,17510,2026-10-29,48,SILVER,60,60,50,25
"ABC HOME & COMMERCIAL SERVICES, INC",(512) 837-9500,in,TX,78724.0,Generac,1300,2026-05-19,42,SILVER,60,60,25,25
TRUSERV ENERGY SOLUTIONS,(214) 945-0790,plano,TX,75093.0,Generac,1377,2026-05-31,39,BRONZE,40,0,75,25
Jack Spring Electrical Contractors Inc. - Shreveport,318 865-6225,Shreveport,LOUISIANA,71106.0,Cummins,21020,2026-01-12,39,BRONZE,40,0,75,25
Strategic Electrical Solutions LLC,2282651355,ANGLETON,TX,77515.0,Briggs & Stratton,36240,2026-07-29,39,BRONZE,40,0,75,25
Commercial Electric - Lubbock,806 797-6721,Lubbock,TEXAS,79404.0,Cummins,18449,2026-08-13,39,BRONZE,60,40,25,25
"West Texas Mechanical & Electrical, Llc - Odessa",432 614-1224,Odessa,TEXAS,79764.0,Cummins,39080,2026-04-19,39,BRONZE,40,0,75,25
ALTERNATIVE HOME ENERGY/MAINT LLC,(214) 838-7157,son,TX,75081.0,Generac,36989,2025-04-13,38,BRONZE,40,40,50,25
TOP TIER ELECTRICAL SERVICES LLC,(936) 900-7031,humble,TX,77346.0,Generac,40166,2026-04-11,38,BRONZE,40,40,50,25
"ECHO ELECTRICAL SERVICES, INC",(817) 903-2482,e d pantego,TX,76013.0,Generac,24698,2026-10-21,38,BRONZE,40,40,50,25
Bart Wilson Electrical Service,9038241620,Jefferson,TX,75657.0,Briggs & Stratton,27635,2026-02-05,38,BRONZE,40,40,50,25
RUIZ ELECTRICAL SERVICES LLC,(832) 470-3507,spring,TX,77386.0,Generac,29835,2026-09-26,38,BRONZE,40,40,50,25
"AMPOLOGY ELECTRICAL SERVICES, LLC",(512) 518-3791,in,TX,78753.0,Generac,29870,2026-10-17,38,BRONZE,40,40,50,25
AARON'S ELECTRICAL SERVICE INC,2817190464,SPRING,TX,77386.0,Briggs & Stratton,31569,2026-02-25,38,BRONZE,40,40,50,25
DIETRICH ELECTRICAL SERVICES LLC,(210) 387-7949,helotes,TX,78023.0,Generac,31582,2026-04-11,38,BRONZE,40,40,50,25
INLAND MARINE ELECTRICAL SERVICES,(817) 907-8797,joshua,TX,76058.0,Generac,33767,2026-03-08,38,BRONZE,40,40,50,25
SPARK ELECTRICAL SERVICES LLC,(512) 497-2680,del valle,TX,78617.0,Generac,38400,2026-08-18,38,BRONZE,40,40,50,25
AC DC ELECTRICAL SERVICES INC,(512) 573-0777,liberty hill,TX,78642.0,Generac,34147,2026-01-29,38,BRONZE,40,40,50,25
HUTTO ELECTRICAL SERVICES LLC,(512) 905-9727,reet hutto,TX,78634.0,Generac,34653,2026-07-26,38,BRONZE,40,40,50,25
NOMIC POWER SOLUTIONS,(512) 387-4232,in,TX,78753.0,Generac,39308,2026-07-16,38,BRONZE,40,40,50,25
Total Comfort Mechanical - Nj,7325270091,Eatontown,New Jersey,7724.0,York,34820,2026-10-22,38,BRONZE,40,40,50,25
"WESTCO ELECTRICAL SERVICES, LLC",(512) 949-0173,georgetown,TX,78628.0,Generac,36148,2026-06-22,38,BRONZE,40,40,50,25
HERNANDEZ ELECTRICAL SERVICES INC,(972) 313-3885,irby lane irving,TX,75061.0,Generac,22315,2026-07-31,38,BRONZE,40,40,50,25
UNITY ELECTRICAL SERVICES LLC,(713) 999-1890,cypress,TX,77429.0,Generac,32730,2026-06-13,38,BRONZE,40,40,50,25
W & A Electric Service Company - Conroe,936 441-4275,Conroe,TEXAS,77304.0,Cummins,19700,2026-11-16,35,BRONZE,40,60,25,25
LAVALLEY HOME SERVICES LLC,(325) 248-9091,kingwood,TX,77339.0,Generac,40227,2026-04-29,35,BRONZE,40,60,25,25
Msh Enterprises Llc - Kingsland,325 248-3215,Kingsland,TEXAS,78639.0,Cummins,38016,2026-04-26,33,BRONZE,60,0,25,25
MALLORY ENTERPRISES INC,(512) 301-9111,in,TX,78737.0,Generac,20588,2026-11-23,33,BRONZE,60,0,25,25
"FACILITIES ELECTRIC, INC",(713) 647-6767,on,TX,77041.0,Generac,17881,2026-07-28,33,BRONZE,60,0,25,25
"RPE ENTERPRISES, LLC",(512) 652-8463,kyle,TX,78640.0,Generac,19901,2026-10-04,33,BRONZE,60,0,25,25
OFF GRID ENTERPRISES,4058989190,NORMAN,OK,73026.0,Briggs & Stratton,31460,2026-01-08,33,BRONZE,60,0,25,25
BREEZE MECHANICAL LLC,(817) 862-9856,fort worth,TX,76118.0,Generac,34012,2026-11-20,32,BRONZE,40,0,50,25
"TIPCO A/C & ELECTRICAL, LLC",(281) 245-5970,on,TX,77047.0,Generac,32208,2026-05-20,32,BRONZE,40,0,50,25
"PATRIOT SERVICES ELECTRIC, LLC",(713) 900-9140,katy,TX,77494.0,Generac,37798,2026-02-03,32,BRONZE,40,40,25,25
E3 Electrical - Houma,985 223-0778,Houma,LOUISIANA,70360.0,Cummins,31905,2026-06-24,32,BRONZE,40,0,50,25
DELTA ELECTRIC COMPANY OF BATON ROUGE INC,2253588226,BATON ROUGE,LA,70812.0,Briggs & Stratton,31769,2024-05-19,32,BRONZE,40,40,25,25
ESQUIVEL ELECTRICAL & LIGHTING LLC,(210) 708-3954,espada bnd san antonio,TX,78222.0,Generac,37930,2026-04-02,32,BRONZE,40,0,50,25
Triangle Electric Company - Amarillo,806 376-9950,Amarillo,TEXAS,79102.0,Cummins,18914,2026-08-26,32,BRONZE,40,40,25,25
"POWER SOLUTIONS SPECIALIST, LLC",(832) 448-0478,tomball,TX,77375.0,Generac,37931,2026-03-31,32,BRONZE,40,0,50,25
HUNTER SERVICE GROUP,(210) 701-0192,san antonio,TX,78249.0,Generac,31355,2026-11-19,32,BRONZE,40,40,25,25
A-Lectric Company And Contracting Llc. - Shreveport,318 469-3883,Shreveport,LOUISIANA,71107.0,Cummins,32578,2026-04-25,32,BRONZE,40,40,25,25
"JM ENGINEERING, LLC",(512) 614-0226,round rock,TX,78665.0,Generac,31295,2026-10-29,32,BRONZE,40,0,50,25
PCI ELECTRICAL,(281) 797-1997,humble,TX,77347.0,Generac,30544,2025-12-20,32,BRONZE,40,0,50,25
GONZALEZ ELECTRICAL CONTRACTOR,(210) 589-3976,po b,ox,24028.0,Generac,30525,2026-12-09,32,BRONZE,40,0,50,25
"JAMES BLEND SERVICES, LLC",(512) 769-5005,loch linnhe loop pflugerville,TX,78660.0,Generac,38698,2025-12-06,32,BRONZE,40,40,25,25
DM ELECTRICAL AND CONSTRUCTION LLC,(346) 773-4920,on,TX,77081.0,Generac,30363,2026-08-07,32,BRONZE,40,0,50,25
"BRADFORD BROTHERS UNDERGROUND SERVICE, INC.",5123000839,AUSTIN,TX,78754.0,Briggs & Stratton,30117,2026-03-13,32,BRONZE,40,40,25,25
South Texas Solar Systems,2108295420,San Antonio,TX,78217.0,SMA Solar,30019,2026-02-12,32,BRONZE,40,0,50,25
HMR ELECTRICAL CONTRACTING LLC,3182264510,SHREVEPORT,LA,71107.0,Briggs & Stratton,29867,2026-07-11,32,BRONZE,40,0,50,25
DKD ENERGY,(512) 766-4556,in,TX,78737.0,Generac,32463,2026-03-10,32,BRONZE,40,0,50,25
AL'S A.S.A.P. ELECTRIC COMPANY LLC,(936) 933-7144,porter,TX,77365.0,Generac,37392,2026-09-04,32,BRONZE,40,40,25,25
Armstrong Mechanical - Lubbock,8067474217,Lubbock,TX,79404.0,Mitsubishi,32611,2026-05-08,32,BRONZE,40,0,50,25
"MULTIMEDIA SOLUTIONS, INC.",(972) 488-1084,farmers branch,TX,75234.0,Generac,36246,2026-08-02,32,BRONZE,40,0,50,25
VETERAN ELECTRICAL LLC,(619) 760-6260,ive heath,TX,75126.0,Generac,35450,2026-09-28,32,BRONZE,40,0,50,25
ICON POWER SOLUTIONS LLC,(832) 217-9126,katy,TX,77449.0,Generac,35536,2026-10-26,32,BRONZE,40,0,50,25
CARRIERE HVAC-ELECTRIC INC,(832) 913-9261,katy,TX,77494.0,Generac,35250,2026-05-04,32,BRONZE,40,0,50,25
THE SHOCK DOC ELECTRICAL SRVCS LLC,(409) 739-3891,unit a league city,TX,77573.0,Generac,35194,2026-04-09,32,BRONZE,40,0,50,25
"BIG STAR ELECTRICAL, LLC",(832) 650-0601,friendswood,TX,77546.0,Generac,35919,2026-04-11,32,BRONZE,40,0,50,25
"DIAMONDBACK ELECTRICAL SERIVCES, LL",(210) 409-7271,la vernia,TX,78121.0,Generac,35003,2026-02-10,32,BRONZE,40,0,50,25
G. O. ELECTRICAL LLC,(214) 884-8227,,TX,76054.0,Generac,34744,2026-09-12,32,BRONZE,40,0,50,25
TEX-PRO ELECTRICAL LLC,(281) 854-8714,missouri city,TX,77489.0,Generac,36155,2026-06-23,32,BRONZE,40,0,50,25
WADE ELECTRICAL GROUP INC,9404658159,SANGER,TX,76266.0,Briggs & Stratton,34391,2026-09-29,32,BRONZE,40,0,50,25
AUSTIN GENERATOR SERVICE,(512) 251-2247,in,TX,78728.0,Generac,29729,2024-07-25,32,BRONZE,40,40,25,25
SHEARER ELECTRIC COMPANY,(972) 288-9778,mesquite,TX,75149.0,Generac,36351,2026-08-30,32,BRONZE,40,40,25,25
ESA SYSTEMS LLC,(713) 828-9657,ribbon creek san antonio,TX,78238.0,Generac,34150,2026-02-17,32,BRONZE,40,0,50,25
"TEXADIA HOME TECHNOLOGIES, LLC",(214) 956-5820,addison,TX,75001.0,Generac,36724,2026-01-06,32,BRONZE,40,40,25,25
"CANTER POWER SYSTEMS, LLC",(336) 448-4000,on,TX,77043.0,Generac,33979,2026-10-31,32,BRONZE,40,0,50,25
Bosworth Company - Midland / The Bosworth Company,4326835233,Midland,TX,79706.0,Mitsubishi,18700,2026-08-20,32,BRONZE,40,40,25,25
MORGAN AIR SERVICES LLC MORGAN PRO SERVI,(713) 466-7426,on,TX,77092.0,Generac,33752,2026-08-12,32,BRONZE,40,40,25,25
JTX ELECTRICAL LLC,(512) 663-7134,leander,TX,78641.0,Generac,37015,2026-04-20,32,BRONZE,40,0,50,25
"Ferezco Power Systems, Llc - Poteet",830 742-8680,Poteet,TEXAS,78065.0,Cummins,32703,2026-08-14,32,BRONZE,40,0,50,25
TeraVolt Energy,2103748372,NEW BRAUNFELS,CA,78132.0,Briggs & Stratton,29751,2026-08-12,32,BRONZE,40,0,50,25
MEND SERVICES,(512) 206-3188,in,TX,78747.0,Generac,35517,2026-10-19,32,BRONZE,40,40,25,25
ASPIRE SALES & ELECTRICAL SERV. LLC,(281) 242-2471,,TX,77477.0,Generac,25185,2026-02-05,32,BRONZE,40,0,50,25
ABSOLUTE PWR ELECTRIC CONTRACTORS,(210) 647-3138,san antonio,TX,78249.0,Generac,22434,2026-08-27,32,BRONZE,40,0,50,25
EP Mechanical Technologies,9155441550,El Paso,TX,79901.0,Mitsubishi,26009,2026-02-27,32,BRONZE,40,0,50,25
MIDWAY ELECTRICAL GROUP LLC,(214) 681-4761,dallas,TX,75248.0,Generac,39741,2025-12-03,32,BRONZE,40,0,50,25
Carlisle Power Systems Inc - Waxahachie,972 351-9064,Waxahachie,TEXAS,75165.0,Cummins,25954,2026-01-13,32,BRONZE,40,0,50,25
BLACKBELT COMPANY,(210) 862-9189,w ansley san antonio,TX,78221.0,Generac,23539,2026-07-31,32,BRONZE,40,40,25,25
WILLIAMS ELECTRIC & HVAC,(817) 523-5353,springtown,TX,76082.0,Generac,26220,2026-04-16,32,BRONZE,40,0,50,25
HARTER ELECTRIC SERVICE INC,(817) 831-2531,haltom city,TX,76117.0,Generac,23122,2026-03-06,32,BRONZE,40,40,25,25
Mico Environmental Solutions L.L.C. - Houston,281 502-0062,Houston,TEXAS,77339.0,Cummins,26366,2024-06-14,32,BRONZE,40,0,50,25
210 ELECTRICAL LLC,(210) 677-9818,san antonio,TX,78233.0,Generac,40001,2026-02-24,32,BRONZE,40,0,50,25
EXTREME POWER SERVICES,(832) 467-8800,on,TX,77041.0,Generac,22864,2025-12-18,32,BRONZE,40,40,25,25
"THE LENTZ COMPANIES, INC.",(972) 241-0622,indian trail dallas,TX,75229.0,Generac,24390,2026-04-07,32,BRONZE,40,40,25,25
HONEST PLUMBING AND AIR,(512) 238-2058,hutto,TX,78634.0,Generac,39562,2026-10-02,32,BRONZE,40,0,50,25
"Gogen Services, Inc. - Sulphur",337 527-5599,Sulphur,LOUISIANA,70663.0,Cummins,29425,2026-02-11,32,BRONZE,40,40,25,25
"TRIBECA PLUMBING, INC.",(214) 402-5454,dallas,TX,75225.0,Generac,39539,2026-09-27,32,BRONZE,40,0,50,25
Stewart Power Services Llc - Bossier City,318 747-5605,Bossier City,LOUISIANA,71111.0,Cummins,25996,2025-12-30,32,BRONZE,40,40,25,25
NEW PARTNERS COMMUNITY SOLAR,9999999999,WASHINGTON,DC,20001.0,Briggs & Stratton,24296,2026-10-10,32,BRONZE,40,40,25,25
WEEKS SERVICE CO,(281) 332-9555,s league city,TX,77573.0,Generac,17036,2026-07-13,32,BRONZE,40,40,25,25
Bnk Generator Services - Gilmer,903 746-1058,Gilmer,TEXAS,75644.0,Cummins,28302,2026-08-18,32,BRONZE,40,40,25,25
PRINCIPAL ELECTRICAL CONTRACTOR LLC,(713) 895-9606,on,TX,77080.0,Generac,29344,2025-12-22,32,BRONZE,40,0,50,25
"ALLIED ELECTRIC SERVICES, INC.",(512) 930-0767,georgetown,TX,78626.0,Generac,21659,2026-02-26,32,BRONZE,40,40,25,25
Brubaker Builders Llc - Rockledge,321 608-4850,Rockledge,FLORIDA,32955.0,Cummins,40688,2026-09-12,32,BRONZE,40,0,50,25
TMCO/TEMPERATURE MAINTENANCE CO INC,(713) 294-2151,on,TX,77026.0,Generac,27372,2025-12-31,32,BRONZE,40,40,25,25
"CSG COMPANIES, LLC",(214) 631-4820,seagoville,TX,75159.0,Generac,39363,2026-08-19,32,BRONZE,40,40,25,25
"SYMCY SERVICES, LLC",(210) 417-5319,e,TX,78163.0,Generac,20294,2026-09-02,32,BRONZE,40,40,25,25
American Services - Hockley,281 355-9100,Hockley,TEXAS,77447.0,Cummins,19746,2025-12-01,32,BRONZE,40,40,25,25
THE OSCAR W. LARSON COMPANY,(817) 319-6103,fort worth,TX,76137.0,Generac,20921,2026-01-23,32,BRONZE,40,40,25,25
TEXAS ELECTRICAL RESI CONTRS LLC,(713) 721-4669,on,TX,77085.0,Generac,25383,2026-05-02,32,BRONZE,40,0,50,25
"VILLAGE PLUMBING, AIR AND ELECTRIC",(713) 526-1491,on,TX,77041.0,Generac,39310,2026-07-18,32,BRONZE,40,0,50,25
SOLARUGREEN CORPORATION,(682) 718-4741,,TX,76053.0,Generac,36710,2026-11-06,26,BRONZE,40,0,25,25
"Ttg Electric Co., Inc. - Killeen",254 526-7284,Killeen,TEXAS,76549.0,Cummins,17420,2026-07-23,26,BRONZE,40,0,25,25
PARTICLE PRO ELECTRIC LLC,(346) 443-1681,spring,TX,77373.0,Generac,36847,2026-02-26,26,BRONZE,40,0,25,25
"ES Solar, LLC",(801) 614-0606,,CA,,Tesla,36943,2026-03-25,26,BRONZE,40,0,25,25
NORTH TEXAS GENERATORS LLC,(817) 900-2714,haslet,TX,76052.0,Generac,36828,2026-02-16,26,BRONZE,40,0,25,25
LIMITLESS ELECTRIC LLC,(936) 200-7165,humble,TX,77346.0,Generac,36854,2026-03-01,26,BRONZE,40,0,25,25
Frischhertz Electric Co. - New Orleans,504 482-1146,New Orleans,LOUISIANA,70119.0,Cummins,39099,2026-04-26,26,BRONZE,40,0,25,25
NIVO SOLAR LLC,(346) 425-0650,on,TX,77043.0,Generac,40396,2026-06-19,26,BRONZE,40,0,25,25
LT ELECTRIC,(512) 923-9354,pinseeker selma,TX,78154.0,Generac,36262,2026-04-30,26,BRONZE,40,0,25,25
